meadowID,area_ha
98035,6.83783
98036,4.60091
98037,2.72077
98038,14.72732
98039,3.69202
98040,4.15804
98041,1.64388
98042,1.43518
98043,0.97401
98044,5.03917
100001,3.9764
100002,2.43866
100003,3.17296
100004,3.05609
100005,3.9447
100006,4.55126
100007,8.70447
100008,3.8063
100009,7.11699
100010,1.42393
100011,1.77889
100012,1.96962
100013,1.05941
100014,1.29567
100015,6.46693
100016,4.97815
100017,2.08888
100018,6.15468
100019,1.81554
100020,1.12438
100021,3.23611
100022,2.00962
100023,3.06575
100024,2.60484
100025,3.03193
100026,1.7144
100027,4.68138
100029,1.75074
100030,1.57807
100031,0.90139
100032,2.64184
100033,2.40479
100034,7.39706
114001,1.4221
114002,1.43348
114003,0.85895
114004,1.93148
114005,1.36333
114006,4.54208
114007,2.56703
114008,2.68877
114009,2.2188
114010,1.87921
114011,3.73519
114013,3.9331
114014,4.77494
114015,2.44966
114016,3.17841
114017,2.20096
114018,3.26339
114019,1.59678
114020,6.14034
114021,3.58274
114022,5.73274
114023,5.23585
114024,4.51865
114025,3.95665
114026,1.0094
114027,1.40582
114028,1.06831
114029,2.06128
114030,1.91491
114031,3.58435
114032,4.46234
114033,4.50516
114034,5.91061
114035,6.98635
114036,3.71626
114037,3.62757
114038,1.89629
114039,3.03394
114040,3.25831
114041,4.85428
114042,4.04842
114043,3.47379
114044,2.73933
114045,4.36557
114046,5.19703
114047,2.62626
114048,6.99841
114050,6.33358
114051,3.84304
114052,5.29005
114053,2.66231
114054,0.97561
114055,3.42718
114056,3.03976
114057,2.97835
114058,3.76707
114059,4.28066
114060,1.64478
114061,2.7195
114062,4.0206
114063,2.81031
114064,8.00804
114065,3.5359
114066,7.62354
114067,4.29402
114068,3.79925
114069,2.65625
114070,2.54441
114071,1.57131
114072,1.39759
114073,1.502
114074,2.9327
114075,3.97784
114076,1.40205
114077,4.93514
114078,5.76013
114079,4.21464
114080,2.83282
114081,1.26997
114082,4.34007
114083,2.08608
114084,1.17335
114085,5.19131
114086,2.67705
114087,4.09032
114088,5.98814
114089,2.73135
114092,1.0207
114093,1.54339
114094,4.75189
114095,5.37331
114097,3.74977
114098,3.01763
114099,5.35562
114100,2.31391
114101,1.3138
114102,2.85467
114103,4.05788
114104,4.58861
114105,3.17599
114107,2.84357
114108,2.86225
114109,2.00587
114110,4.49712
114111,5.559
114112,2.56645
114113,2.73507
114114,2.30639
114115,2.04546
114116,5.46465
114118,4.50679
114119,2.4066
114120,2.91727
114121,3.80612
114122,4.01284
114123,3.66981
114124,2.39051
114125,4.6702
114126,1.84572
114127,2.92272
114128,1.41254
114129,0.97307
114130,4.38281
114131,3.10966
114132,3.71259
114133,4.42766
114134,3.55941
114135,2.24765
114136,2.94782
114137,3.02001
114138,4.6174
114139,4.03589
114140,7.99525
114141,3.5532
114142,0.52688
114143,1.20381
114144,1.18661
114145,3.4491
114146,2.21306
114147,1.42521
114148,0.47675
114149,0.28293
114150,2.88078
114151,1.52147
114152,1.73717
114153,1.1873
115001,3.55371
115002,5.14023
115003,3.43656
115004,5.05235
115005,5.74961
115006,2.01452
115007,2.20926
115008,5.15323
115009,5.17376
115010,2.04591
115011,4.81243
115012,5.48795
115013,2.29791
115014,3.11187
115015,2.00404
115016,2.67955
115017,3.81872
116001,1.52811
116002,6.45604
116003,7.69068
116004,5.13627
116005,4.56443
116006,7.77053
116007,2.72148
116008,2.55136
116009,2.10461
116010,4.94841
116011,3.09136
116012,2.67668
116013,5.41952
116014,5.54026
116015,10.17313
116016,11.25293
116017,4.74356
116018,4.12249
116019,2.48835
116020,5.6029
116021,3.43178
116022,2.67937
116023,3.63372
116024,5.99075
116025,4.96592
116026,3.24247
116027,1.88171
116028,2.75754
116029,4.65374
116030,2.01538
116031,1.35044
116033,0.95788
127001,3.57761
127002,9.39901
127003,3.75191
127004,2.55639
127005,3.73843
127006,2.19505
127007,1.35817
127008,2.64391
127009,1.91363
127010,3.34692
127011,2.13722
127012,4.12062
127013,4.19393
127014,1.79351
127015,2.62253
127016,3.23339
127017,5.20534
127018,12.1419
127019,5.45295
127020,9.80161
127021,4.63565
127022,7.16911
127023,6.04665
127024,9.41985
127025,0.72775
127026,5.48136
127027,10.53705
127028,5.49425
127029,2.18119
127030,5.9785
128001,0.94398
128002,1.04795
128003,0.70983
128004,5.21657
128005,2.04196
128007,4.81402
128008,3.96478
128009,12.02262
128010,0.82225
128011,4.28107
128012,4.65415
128013,3.96487
128014,0.9324
128015,3.95445
128016,3.79634
128017,4.45831
128018,1.41435
128019,2.41977
128020,2.76809
128021,3.75519
128022,3.97936
128023,4.22566
128024,4.9896
128025,6.37559
128026,2.05346
128027,3.17597
128028,2.94483
128029,3.3625
128030,5.26512
128031,4.27151
128032,2.72573
128033,3.19345
128034,5.40156
128035,9.91958
128036,4.50239
128037,5.20436
128038,5.07929
128039,3.3202
128040,3.92007
128041,6.14562
128042,2.94558
128043,3.06422
128044,4.4969
128045,3.5283
128046,3.10245
128047,7.29085
128048,3.75767
128049,3.42025
128050,4.86719
128051,4.9795
128052,3.66583
128053,1.94557
128054,2.98341
128055,3.26836
128056,4.30932
128057,2.71232
128058,3.02058
128059,2.09903
128060,3.70409
128061,3.4741
128062,3.20377
128063,3.48443
128064,2.1358
128065,2.03843
128066,3.24731
128067,4.23951
128068,4.31561
128069,4.72417
128070,1.09381
128071,2.36846
128072,1.87428
128073,4.93302
128074,2.69843
128075,5.09379
128076,5.24191
128077,13.32034
128078,1.89234
128079,1.90844
128080,1.20425
128081,2.02181
128082,2.24188
128083,1.41867
128084,4.37131
128085,3.03268
